glayCluster,name
4,ZNF280C
3,AC010226.1
3,AC108058.1
3,AL445231.1
4,SCUBE2
3,AQP4-AS1
1,PGK1
1,MYL6
2,LINC00466
2,SYN3-AS1
2,LINC00622
4,FGD6
2,THRB-AS1
4,DSCAML1
5,MIR22HG
3,AL391684.1
3,AC004148.1
3,SEMA6A-AS1
1,CFD
2,LINC00160
4,ANO2
6,ZSWIM7
1,ZDHHC14
4,WIPI1
1,WDR77
3,LNCTAM34A
3,AC013731.1
3,LINC02672
3,LINC02041
3,AL357093.2
1,VLDLR
6,TXNL4B
4,TUBB
4,TTI1
1,TNFRSF21
9,TMEM62
6,TMEM38B
4,TM9SF4
4,TIMM13
4,TGFB1
4,TCF25
3,PRC1-AS1
3,AC011468.1
3,NCBP2-AS1
4,TACC3
2,LINC00222
1,SSR4
4,SNAI1
4,SMG5
4,SLC16A1
6,RRAGC
4,RFC5
7,LINC01936
7,MIR3681HG
7,TTLL10-AS1
3,LINC00877
1,PSMC4
4,PSMA7
4,PPIB
2,POMC
4,PLEKHG2
4,PLD3
4,PDLIM7
6,PCDH10
4,PAPSS1
6,ORAI3
1,NFKBIA
6,NDUFAF1
4,NCAPG
4,MELK
4,MDP1
4,MCM10
1,MAD1L1
4,KIF2C
1,JUNB
4,JTB
6,INTS10
3,RPARP-AS1
1,IFI27
4,HSD17B4
3,AC025580.1
3,AC006042.1
3,LINC02701
1,HLA-A
4,HJURP
4,GRHL2
4,GPX4
4,GNB5
4,GMPPA
4,GLO1
4,GINS1
4,GGT7
5,AL161729.1
5,AC087500.1
5,AC096637.2
4,FSCN1
4,FBXO31
4,FAM210A
6,EIF1AD
6,ECI2
1,DNAJB6
5,AC046130.2
1,DDX1
4,DDAH2
4,DBN1
4,DBF4B
2,LINC00665
4,CKS1B
4,CHMP1A
4,CEL
4,CDKN3
2,CDKN2B
4,CDCA5
4,CDC7
4,CDC25B
4,CCDC125
6,CBS
1,BCORL1
1,ATP8B2
1,ARHGEF40
4,AGPAT1
4,UBE2V1
4,TNFRSF11B
1,TMTC2
3,RBFADN
7,IGF2-AS
3,AC231981.1
5,AC106820.4
1,ZNRF1
3,AP001318.2
1,YWHAZ
3,MAST4-AS1
3,SNHG25
3,MAFTRR
3,AC080013.1
3,Z98884.2
3,ODC1-DT
3,AC010326.3
3,SNHG31
3,AC090912.1
3,AC025171.2
3,AC009271.1
3,AC046143.1
6,TUBA4A
1,TPST1
1,TMEM98
1,TMEM42
4,TBKBP1
3,AC243964.3
1,SNX2
1,RNF19A
3,AL355304.1
3,AP005230.1
4,RAD23A
1,PRKCZ
1,PPIC
1,PLAGL1
1,PF4V1
1,PCYT1A
1,NUP93
1,NDUFA12
3,ATP1A1-AS1
6,LRRC2
1,LRFN5
1,KHDRBS3
3,AL031985.3
3,AC073254.1
3,AL592424.1
3,HAGLR
1,HPSE2
3,AC064807.1
4,GLRX3
5,AC106791.1
5,BAALC-AS1
4,FGFR4
6,EXPH5
1,ECH1
4,DNER
5,AC091182.1
5,AL451069.1
5,AP000757.1
6,CPA4
1,COQ9
1,CDC25C
4,CCNY
1,CCDC102A
1,BTBD3
1,ARSK
1,ANAPC7
4,ACHE
4,ZNF629
4,ZNF32
4,ZNF280B
4,ZNF22
4,ZFPM1
4,ZFP82
4,ZDHHC24
3,AC013643.2
6,XDH
6,WNT5A
4,WFS1
3,AL136038.3
3,AC092718.1
3,AC119674.1
3,AC040169.1
3,ZBTB44-DT
3,AL356417.2
3,AC011921.1
3,AL132639.2
3,YTHDF3-AS1
3,LINC00930
3,GLIS2-AS1
4,VPS4A
6,VCAN
4,USP11
4,UQCC1
3,LINC02861
3,ARHGAP31-AS1
3,AC092115.3
3,AC002467.1
3,ZNF674-AS1
3,LINC01508
3,GATA2-AS1
4,UBA7
4,TSGA10
4,TRPC6
4,TRO
4,TRMT61A
4,TRIT1
4,TRIM16L
6,TRIAP1
6,TREM1
4,TRAPPC9
4,TRAPPC6A
4,TRAF6
4,TP53I11
4,TMEM116
4,TKFC
6,TK2
3,LINC00115
3,AC097717.1
7,LINC02609
4,TCF7L1
6,TBX5
4,TBC1D24
4,TBC1D2
3,AC008760.1
9,SYT6
4,SYNE1
4,SULT2B1
4,STMN3
6,STEAP2
4,STAM
4,SRSF7
6,SRA1
6,SPSB3
6,SPP1
4,SPCS2
1,SOX4
6,SLC35F3
4,SLC33A1
6,SLC2A12
4,SLC29A4
4,SLC27A5
4,SLC27A4
4,SLC25A45
4,SLC25A42
1,SIL1
4,SIKE1
6,SEZ6L2
1,SEMA6D
4,SCML2
4,SARS2
1,RTN2
4,ROPN1L
1,RNF103
4,RND3
1,RIN1
4,RIMKLB
6,RFC2
7,AC104564.5
7,LINC02356
7,AC064807.2
7,AC104653.2
7,CA3-AS1
7,AC132219.1
7,LINC01497
7,AC055854.1
7,AC097359.3
7,PKIA-AS1
7,AC010632.1
7,KHDRBS2-OT1
7,EFCAB6-AS1
7,AC092535.2
7,AL049543.1
7,LINC00457
7,LINC01511
7,AC092650.1
7,LINC02642
7,AL121832.1
7,WDR11-AS1
7,AC024588.1
7,CACNA1C-AS2
1,RBM12B
3,PPP3CB-AS1
3,AC091544.4
3,AC106779.1
3,AC006305.1
3,BCAR3-AS1
3,AC107223.1
3,LINC02235
3,AL359094.1
3,LINC01518
3,AC103760.1
7,DARS-AS1
3,LINC02352
3,AP005136.3
3,DNM1P35
4,RBBP6
1,RASGEF1A
6,PRKAR1B
1,PPP2R2B
4,PPIL2
4,PPIE
4,PPFIA3
2,GRIK1-AS1
4,POFUT2
4,PLXNA4
1,PLPP2
4,PLCD4
4,PKNOX2
1,PIM1
4,PDPR
4,PAX8
1,PAFAH1B3
1,P3H3
4,OXSM
1,ODF3B
4,NUCB1
4,NR2C1
4,NPC1
4,NDUFV3
4,NDUFC2
4,NCOA5
4,MYNN
4,MYH3
2,MYB
4,MTF2
4,MSRB2
4,MRS2
4,MRPL12
3,AC012358.2
3,AL162595.1
4,MMEL1
4,MLH3
4,MEN1
4,MED29
4,MED20
2,MDM2
4,MCRS1
4,MBLAC1
6,LYPLA2
4,LRRC23
4,LAMB3
4,KRT80
4,KPTN
4,KIT
1,KISS1
6,KCND1
6,ITPA
6,ISYNA1
4,ISOC2
4,IPO13
4,INTS3
6,INTS1
6,IMP3
3,AL022238.2
3,PRMT5-AS1
3,AC139887.2
