lnc_id	gene_id	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000251562	ENSG00000105127	0.4012956	0	0	Stg II	0.5350608	MALAT1	AKAP8
ENSG00000268388	ENSG00000154065	0	0.2709232	0.5847645	Stg IV	0.599070533333333	FENDRR	ANKRD29
ENSG00000251562	ENSG00000159314	0.44409	0	0	Stg II	0.59212	MALAT1	ARHGAP27
ENSG00000268388	ENSG00000173546	0	0.510205	0	Stg III	0.680273333333333	FENDRR	CSPG4
ENSG00000228436	ENSG00000101811	0.4833373	0	0	Stg II	0.644449733333333	AL139260.1	CSTF2
ENSG00000226688	ENSG00000177613	0.600355	0.2603787	0	Stg II	0.626887533333333	ENTPD1-AS1	CSTF2T
ENSG00000251562	ENSG00000164932	-0.3760671	0	0	Stg II	0.5014228	MALAT1	CTHRC1
ENSG00000268388	ENSG00000143387	0.4708104	0	0	Stg II	0.6277472	FENDRR	CTSK
ENSG00000268388	ENSG00000153071	0	0.5860356	0	Stg III	0.7813808	FENDRR	DAB2
ENSG00000245598	ENSG00000128191	0.4164285	0	0	Stg II	0.555238	DACT3-AS1	DGCR8
ENSG00000259081	ENSG00000128191	0.456545	0	0	Stg II	0.608726666666667	AF111169.3	DGCR8
ENSG00000268670	ENSG00000128191	0.6487816	0.3993943	0	Stg II	0.598779266666667	AC016586.1	DGCR8
ENSG00000239791	ENSG00000128191	0.3852009	0	0	Stg II	0.5136012	AC002310.2	DGCR8
ENSG00000259820	ENSG00000128191	0.5477297	0.3234856	0	Stg II	0.5146492	AC083843.2	DGCR8
ENSG00000269821	ENSG00000128191	0.5533593	0	0	Stg II	0.7378124	KCNQ1OT1	DGCR8
ENSG00000260442	ENSG00000128191	0.3818037	0	0	Stg II	0.5090716	ATP2A1-AS1	DGCR8
ENSG00000235560	ENSG00000128191	0.4249277	0	0	Stg II	0.566570266666667	AC002310.1	DGCR8
ENSG00000226688	ENSG00000066044	0.5016801	0.183559	0	Stg II	0.546534133333333	ENTPD1-AS1	ELAVL1
ENSG00000226688	ENSG00000182944	0.4153902	0	0	Stg II	0.5538536	ENTPD1-AS1	EWSR1
ENSG00000226688	ENSG00000106462	0.429365	0	0	Stg II	0.572486666666667	ENTPD1-AS1	EZH2
ENSG00000214548	ENSG00000106462	0.5913864	0	0	Stg II	0.7885152	MEG3	EZH2
ENSG00000268388	ENSG00000077782	0	0	0.5345358	Stg IV	0.7127144	FENDRR	FGFR1
