lnc_id	gene_id	Stg.I	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000251562	ENSG00000047617	0	0	0	0.6213117	Stg IV	0.8284156	MALAT1	ANO2
ENSG00000182165	ENSG00000169083	0.2427323	0.3865811	0	0.8265821	Stg IV	0.822414622222222	TP53TG1	AR
ENSG00000230978	ENSG00000169083	0	0.2325566	0	0.619103	Stg IV	0.722112177777778	LINC00160	AR
ENSG00000240498	ENSG00000169083	-0.1512939	-0.2037548	0	-0.5256969	Stg IV	0.543129777777778	CDKN2B-AS1	AR
ENSG00000227456	ENSG00000169083	0	0	0	0.4534439	Stg IV	0.604591866666667	LINC00310	AR
ENSG00000245910	ENSG00000104221	0	0	0.187774	0.7866118	Stg IV	0.965360622222222	SNHG6	BRF2
ENSG00000223653	ENSG00000135387	0	0	0	0.5569079	Stg IV	0.742543866666667	AL078459.1	CAPRIN1
ENSG00000251562	ENSG00000168564	-0.2383381	-0.1041845	0	0.669821	Stg IV	0.7408624	MALAT1	CDKN2AIP
ENSG00000245694	ENSG00000197766	0	0	0	0.5892112	Stg IV	0.785614933333333	CRNDE	CFD
ENSG00000231731	ENSG00000111605	0	0	0.2934931	0.7566364	Stg IV	0.878407155555555	AC010976.1	CPSF6
ENSG00000266053	ENSG00000111605	0	0	0	0.6662938	Stg IV	0.888391733333333	NDUFV2-AS1	CPSF6
ENSG00000248445	ENSG00000149532	0	0.1226679	0.1662106	0.6312397	Stg IV	0.713262488888889	SEMA6A-AS1	CPSF7
ENSG00000263272	ENSG00000177613	0	0.1302565	0.1258041	0.553201	Stg IV	0.623796622222222	AC004148.1	CSTF2T
ENSG00000249592	ENSG00000177613	0	0.1228558	0	0.6368265	Stg IV	0.794499422222222	AC139887.2	CSTF2T
ENSG00000263069	ENSG00000177613	0	0.129679	0.2138754	0.7264531	Stg IV	0.815913288888889	RNF213-AS1	CSTF2T
ENSG00000224934	ENSG00000177613	0	0.212423	0.2268037	0.606023	Stg IV	0.6128188	AL391684.1	CSTF2T
ENSG00000258682	ENSG00000177613	0	0.238198	0.2570557	0.7614089	Stg IV	0.795099111111111	AL132989.1	CSTF2T
ENSG00000261326	ENSG00000177613	0	0.09073152	0.1732394	0.7001912	Stg IV	0.816267857777778	LINC01355	CSTF2T
ENSG00000244055	ENSG00000177613	0	0.107016	0	0.5822459	Stg IV	0.7287652	AC007566.1	CSTF2T
ENSG00000186594	ENSG00000128191	0	0.1447746	0.3195678	0.6702534	Stg IV	0.6872968	MIR22HG	DGCR8
ENSG00000224086	ENSG00000128191	0	0.2794125	0.5380005	0.8102325	Stg IV	0.717015333333333	PPM1F-AS1	DGCR8
