lnc_id	gene_id	Stg.I	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000251562	ENSG00000147416	0	0	0	0.4747815	Stg IV	0.633042	MALAT1	ATP6V1B2
ENSG00000228223	ENSG00000119866	0.5351346	0.2138649	0.2063051	0	Stg I	0.526770577777778	HCG11	BCL11A
ENSG00000228223	ENSG00000069399	-0.4348135	0	0	0	Stg I	0.579751333333333	HCG11	BCL3
ENSG00000258655	ENSG00000165556	0	0	-0.1784632	-0.4596844	Stg IV	0.533595555555556	ARHGAP5-AS1	CDX2
ENSG00000231074	ENSG00000149532	0	0.2042826	0.4544587	0	Stg III	0.515152666666667	HCG18	CPSF7
ENSG00000228223	ENSG00000102974	0	0.2815262	0.5438886	0	Stg III	0.600062044444444	HCG11	CTCF
ENSG00000268388	ENSG00000171604	0	0	0	0.4023879	Stg IV	0.5365172	FENDRR	CXXC5
ENSG00000228223	ENSG00000205250	0	0	0.4288443	0	Stg III	0.5717924	HCG11	E2F4
ENSG00000228223	ENSG00000169016	0	0.1625652	0.4542512	0	Stg III	0.533417066666667	HCG11	E2F6
ENSG00000258701	ENSG00000141543	0.4210259	0	0	0	Stg I	0.561367866666667	LINC00638	EIF4A3
ENSG00000228223	ENSG00000100393	0	0.2465664	0.4697661	0	Stg III	0.516769733333333	HCG11	EP300
ENSG00000258655	ENSG00000173153	0	0	0	-0.3890514	Stg IV	0.5187352	ARHGAP5-AS1	ESRRA
ENSG00000253552	ENSG00000102081	0.6118237	0.3252254	0	0.3295366	Stg I	0.5247596	HOXA-AS2	FMR1
ENSG00000223813	ENSG00000089280	0	0	0	-0.3834071	Stg IV	0.511209466666667	AC007255.1	FUS
ENSG00000228223	ENSG00000089280	0	0	0.3852624	0	Stg III	0.5136832	HCG11	FUS
ENSG00000270194	ENSG00000136231	0	0	0	0.4095142	Stg IV	0.546018933333333	AC097359.2	IGF2BP3
ENSG00000231074	ENSG00000136231	0	0	0	0.528881	Stg IV	0.705174666666667	HCG18	IGF2BP3
ENSG00000230002	ENSG00000136231	0	0	0	0.5190434	Stg IV	0.692057866666667	ALMS1-IT1	IGF2BP3
ENSG00000231074	ENSG00000137265	0	0	0	0.3957453	Stg IV	0.5276604	HCG18	IRF4
ENSG00000251562	ENSG00000165072	0.6974294	0	0	0	Stg I	0.929905866666667	MALAT1	MAMDC2
ENSG00000268388	ENSG00000165072	0	0.782719	0.8737306	0.4403815	Stg III	0.621373911111111	FENDRR	MAMDC2
ENSG00000246263	ENSG00000155363	-0.3970324	0	0	0	Stg I	0.529376533333333	UBR5-AS1	MOV10
ENSG00000223891	ENSG00000155363	-0.3804315	0	0	0	Stg I	0.507242	OSER1-DT	MOV10
ENSG00000268388	ENSG00000163346	0	0.4723972	0.6662207	0.294958	Stg III	0.547247511111111	FENDRR	PBXIP1
ENSG00000251562	ENSG00000081277	0.5650618	0	0	0.2677566	Stg I	0.6344128	MALAT1	PKP1
ENSG00000214548	ENSG00000141646	0	0	0.4505199	0	Stg III	0.6006932	MEG3	SMAD4
ENSG00000228223	ENSG00000099956	-0.4062602	0	0	0	Stg I	0.541680266666667	HCG11	SMARCB1
ENSG00000228223	ENSG00000185591	0	0.23572	0.4569453	0	Stg III	0.504495955555556	HCG11	SP1
ENSG00000258655	ENSG00000185591	0	0	0	0.3808454	Stg IV	0.507793866666667	ARHGAP5-AS1	SP1
ENSG00000247400	ENSG00000140262	0	0.2715341	0.4748894	0	Stg III	0.512504044444444	DNAJC3-DT	TCF12
ENSG00000268388	ENSG00000105696	0	0.7196542	0.4981508	0.4072478	Stg II	0.557139555555556	FENDRR	TMEM59L
ENSG00000251562	ENSG00000104321	0	0	0.6284596	0	Stg III	0.837946133333333	MALAT1	TRPA1
ENSG00000261578	ENSG00000136709	0	0.3903692	0	0	Stg II	0.520492266666667	AP003119.3	WDR33
ENSG00000228223	ENSG00000100811	0	0.275587	0.5201331	0	Stg III	0.571027688888889	HCG11	YY1
