lnc_id	gene_id	Stg.I	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000233016	ENSG00000169083	0.5766171	0	0	0	Stg I	0.7688228	SNHG7	AR
ENSG00000234741	ENSG00000169083	0.6160815	0	0	0	Stg I	0.821442	GAS5	AR
ENSG00000245532	ENSG00000214087	0	0.5398838	0	0.2205745	Stg II	0.621811955555556	NEAT1	ARL16
ENSG00000268388	ENSG00000171953	0	0	0.4200178	0	Stg III	0.560023733333333	FENDRR	ATPAF2
ENSG00000234741	ENSG00000119866	0.6857816	0	0	0.2579494	Stg I	0.799731288888889	GAS5	BCL11A
ENSG00000233016	ENSG00000119866	0.6901976	0	0	0.2102454	Stg I	0.826821066666666	SNHG7	BCL11A
ENSG00000234608	ENSG00000069399	0.552003	0	0	0	Stg I	0.736004	MAPKAPK5-AS1	BCL3
ENSG00000234741	ENSG00000145734	0.4498327	0	0	0	Stg I	0.599776933333333	GAS5	BDP1
ENSG00000234741	ENSG00000135387	0.800322	0	0	0	Stg I	1.067096	GAS5	CAPRIN1
ENSG00000260260	ENSG00000119203	0.5689913	0	0	0	Stg I	0.758655066666667	SNHG19	CPSF3
ENSG00000234741	ENSG00000119203	0.6498222	0	0.421399	0.1776198	Stg I	0.600199022222222	GAS5	CPSF3
ENSG00000234741	ENSG00000111605	0.5586668	0	0	0.2517794	Stg I	0.632987111111111	GAS5	CPSF6
ENSG00000260260	ENSG00000111605	0.5076357	0	0	0	Stg I	0.6768476	SNHG19	CPSF6
ENSG00000234741	ENSG00000149532	0.7831609	0	0	0	Stg I	1.04421453333333	GAS5	CPSF7
ENSG00000260260	ENSG00000149532	0.4540771	0	0	0	Stg I	0.605436133333333	SNHG19	CPSF7
ENSG00000250988	ENSG00000149532	0.7702867	0.3161245	0.3948331	0.1857958	Stg I	0.628491866666667	SNHG21	CPSF7
ENSG00000260708	ENSG00000149532	0.5013758	0	0	0	Stg I	0.668501066666667	AL118516.1	CPSF7
ENSG00000234741	ENSG00000101811	0.4774998	0	0	0	Stg I	0.6366664	GAS5	CSTF2
ENSG00000260260	ENSG00000101811	0.4541329	0	0	0	Stg I	0.605510533333333	SNHG19	CSTF2
ENSG00000260083	ENSG00000101811	0.7465604	0	0	0.1680744	Stg I	0.920714133333333	MIR762HG	CSTF2
ENSG00000250988	ENSG00000177613	0.6615496	0	0.3442281	0	Stg I	0.729075866666667	SNHG21	CSTF2T
ENSG00000234741	ENSG00000177613	0.5942926	0	0	0	Stg I	0.792390133333333	GAS5	CSTF2T
ENSG00000249859	ENSG00000128191	0.4915743	0	0	0.1743394	Stg I	0.577948222222222	PVT1	DGCR8
ENSG00000233016	ENSG00000128191	0.5822993	0	0	0	Stg I	0.776399066666667	SNHG7	DGCR8
ENSG00000249859	ENSG00000101412	0.5531611	0	0	0	Stg I	0.737548133333333	PVT1	E2F1
