lnc_id	gene_id	Stg.I	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000245694	ENSG00000135776	0.3369447	0.579897	0.225712	0	Stg II	0.523126355555556	CRNDE	ABCB10
ENSG00000245694	ENSG00000164163	0.2607764	0.4923878	0	0	Stg II	0.540616444444444	CRNDE	ABCE1
ENSG00000245694	ENSG00000033050	0	0.4601082	0	0	Stg II	0.6134776	CRNDE	ABCF2
ENSG00000268388	ENSG00000159842	0	0	0	0.6389134	Stg IV	0.851884533333333	FENDRR	ABR
ENSG00000245694	ENSG00000146386	0.1634239	0.4350988	0	0	Stg II	0.507498888888889	CRNDE	ABRACL
ENSG00000268388	ENSG00000120437	0	0	0	0.6585285	Stg IV	0.878038	FENDRR	ACAT2
ENSG00000268388	ENSG00000131473	0.1756616	0.4470061	0	0	Stg II	0.517936311111111	FENDRR	ACLY
ENSG00000268388	ENSG00000151694	0	0.4588349	0	0	Stg II	0.611779866666667	FENDRR	ADAM17
ENSG00000268388	ENSG00000160710	0	0.4089538	0	0	Stg II	0.545271733333333	FENDRR	ADAR
ENSG00000245694	ENSG00000065457	0.1672411	0.490517	0	0	Stg II	0.579693288888889	CRNDE	ADAT1
ENSG00000268388	ENSG00000087274	0	0.5631203	0.2595279	0	Stg II	0.635481333333333	FENDRR	ADD1
ENSG00000268388	ENSG00000117114	0	0.5586316	0.1876103	0	Stg II	0.661459777777778	FENDRR	ADGRL2
ENSG00000268388	ENSG00000196526	0	0.5085812	0	0	Stg II	0.678108266666667	FENDRR	AFAP1
ENSG00000251562	ENSG00000141385	0	0.403584	0	0	Stg II	0.538112	MALAT1	AFG3L2
ENSG00000245694	ENSG00000106546	0.1496877	0.4953484	0	0	Stg II	0.593936666666667	CRNDE	AHR
ENSG00000268388	ENSG00000106305	0	0	0	0.4713627	Stg IV	0.6284836	FENDRR	AIMP2
ENSG00000251562	ENSG00000105221	0	0.4245766	0	0	Stg II	0.566102133333333	MALAT1	AKT2
ENSG00000245694	ENSG00000166971	0.3336883	0.5850335	0.2373544	0	Stg II	0.526247911111111	CRNDE	AKTIP
ENSG00000268388	ENSG00000137124	0	0	0	0.7792725	Stg IV	1.03903	FENDRR	ALDH1B1
ENSG00000268388	ENSG00000123505	0	0.4829917	0.2031292	0	Stg II	0.553709288888889	FENDRR	AMD1
ENSG00000251562	ENSG00000206560	0.1438876	0.6161104	0	0	Stg II	0.757530488888889	MALAT1	ANKRD28
ENSG00000268388	ENSG00000064999	0	0.4439598	0.3510844	0.7249492	Stg IV	0.613245955555555	FENDRR	ANKS1A
ENSG00000245694	ENSG00000166747	0.1786892	0.523509	0.2121301	0	Stg II	0.524314533333333	CRNDE	AP1G1
ENSG00000268388	ENSG00000053770	0	0	0.1895396	0.53355	Stg IV	0.627160177777778	FENDRR	AP5M1
ENSG00000268388	ENSG00000163697	0	0.5500332	0.3033782	0	Stg II	0.598542844444444	FENDRR	APBB2
ENSG00000245694	ENSG00000166181	0.1773216	0.4709946	0	0	Stg II	0.5491832	CRNDE	API5
ENSG00000268388	ENSG00000142192	0	0.6029962	0.252267	0	Stg II	0.691876266666667	FENDRR	APP
ENSG00000225783	ENSG00000169083	0	0	0	-0.4061537	Stg IV	0.541538266666667	MIAT	AR
ENSG00000183535	ENSG00000169083	0	0	0	0.4950481	Stg IV	0.660064133333333	COL18A1-AS1	AR
ENSG00000254389	ENSG00000169083	0	0.3860601	0	0	Stg II	0.5147468	RHPN1-AS1	AR
ENSG00000268388	ENSG00000186635	0	0	0	0.5586631	Stg IV	0.744884133333333	FENDRR	ARAP1
