lnc_id	gene_id	Stg.I	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000245694	ENSG00000128274	0.3353652	0	0.5430752	0	Stg III	0.575049066666667	CRNDE	A4GALT
ENSG00000245694	ENSG00000033050	0.3553792	0	0.5036941	0	Stg III	0.513645822222222	CRNDE	ABCF2
ENSG00000245694	ENSG00000161204	0.3117915	0	0.5297797	0	Stg III	0.567798933333333	CRNDE	ABCF3
ENSG00000245694	ENSG00000097007	0.3939381	0	0	0	Stg I	0.5252508	CRNDE	ABL1
ENSG00000245694	ENSG00000143322	0.4061013	0	0	0	Stg I	0.5414684	CRNDE	ABL2
ENSG00000245694	ENSG00000151498	0	0.6248518	0.3933079	0	Stg II	0.658332222222222	CRNDE	ACAD8
ENSG00000245694	ENSG00000177646	0.1731526	0	0.4625144	0	Stg III	0.539729155555556	CRNDE	ACAD9
ENSG00000268388	ENSG00000144476	0.2091362	0.6944282	0	0	Stg II	0.832954844444444	FENDRR	ACKR3
ENSG00000251562	ENSG00000134575	0	-0.5306967	0	0	Stg II	0.7075956	MALAT1	ACP2
ENSG00000245694	ENSG00000111644	0	0.53772	0	0	Stg II	0.71696	CRNDE	ACRBP
ENSG00000251562	ENSG00000130402	0	0	0	-0.585765	Stg IV	0.78102	MALAT1	ACTN4
ENSG00000245694	ENSG00000121989	0.4585092	0	0	0	Stg I	0.6113456	CRNDE	ACVR2A
ENSG00000245694	ENSG00000148848	0	0	0	-0.5386633	Stg IV	0.718217733333333	CRNDE	ADAM12
ENSG00000245694	ENSG00000087116	0	0	0	-0.5856807	Stg IV	0.7809076	CRNDE	ADAMTS2
ENSG00000251562	ENSG00000163638	0.4123507	0	0	0	Stg I	0.549800933333333	MALAT1	ADAMTS9
ENSG00000245694	ENSG00000020181	0	0	0	-0.586759	Stg IV	0.782345333333333	CRNDE	ADGRA2
ENSG00000251562	ENSG00000165923	0.7063839	0	0.4669034	0	Stg I	0.734332577777778	MALAT1	AGBL2
