lnc_id	gene_id	Stg.I	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000251562	ENSG00000165029	0.5189685	0.2260561	0	0	Stg I	0.591488622222222	MALAT1	ABCA1
ENSG00000268388	ENSG00000141338	0.5076344	0.5967473	0.9363978	0.4298192	Stg III	0.566663333333333	FENDRR	ABCA8
ENSG00000251562	ENSG00000143322	0.5494596	0.3468602	0	0	Stg I	0.578452711111111	MALAT1	ABL2
ENSG00000251562	ENSG00000100813	0	0	0.3750732	0	Stg III	0.5000976	MALAT1	ACIN1
ENSG00000268388	ENSG00000143727	-0.2213974	0	0	-0.4561929	Stg IV	0.509858355555556	FENDRR	ACP1
ENSG00000251562	ENSG00000135503	0	0	0	0.5264467	Stg IV	0.701928933333333	MALAT1	ACVR1B
ENSG00000268388	ENSG00000121989	0.1249448	0.4263039	0	0	Stg II	0.512874177777778	FENDRR	ACVR2A
ENSG00000251562	ENSG00000139567	0	0	0	0.7839398	Stg IV	1.04525306666667	MALAT1	ACVRL1
ENSG00000251562	ENSG00000174233	0	0	0	0.6168986	Stg IV	0.822531466666667	MALAT1	ADCY6
ENSG00000268388	ENSG00000147576	0.2361632	0.3638502	0.5994778	0	Stg III	0.532631111111111	FENDRR	ADHFE1
ENSG00000245532	ENSG00000147576	0.1207061	0.3229446	0.6190021	0	Stg III	0.628158044444444	NEAT1	ADHFE1
ENSG00000245694	ENSG00000159461	-0.1751142	0	0	-0.5945229	Stg IV	0.714868666666667	CRNDE	AMFR
ENSG00000251562	ENSG00000129055	0	0	0	-0.4606299	Stg IV	0.6141732	MALAT1	ANAPC13
ENSG00000251562	ENSG00000166839	0.2824754	0.1883609	0.5695957	0	Stg III	0.550200355555556	MALAT1	ANKDD1A
ENSG00000245532	ENSG00000166839	0.3717301	0.2285032	0.6172522	0	Stg III	0.556232577777778	NEAT1	ANKDD1A
ENSG00000245694	ENSG00000011426	-0.2064383	0	-0.251193	-0.5326903	Stg IV	0.506862044444444	CRNDE	ANLN
ENSG00000251562	ENSG00000081014	0.4647345	0.2618696	0	0	Stg I	0.503259511111111	MALAT1	AP4E1
ENSG00000251562	ENSG00000021776	0.3832271	0	0	0	Stg I	0.510969466666667	MALAT1	AQR
ENSG00000251562	ENSG00000071205	0.4108111	0	0	0	Stg I	0.547748133333333	MALAT1	ARHGAP10
ENSG00000245694	ENSG00000198826	-0.1609535	0	-0.2560969	-0.5836586	Stg IV	0.592855733333333	CRNDE	ARHGAP11A
ENSG00000251562	ENSG00000088756	0.1603475	0.4319397	0	0	Stg II	0.504654044444444	MALAT1	ARHGAP28
ENSG00000251562	ENSG00000149311	0.7606886	0.6406491	0.3307208	0	Stg I	0.582531511111111	MALAT1	ATM
