lnc_id	gene_id	Stg.I	Stg.II	stage	score	lnc_name	gene_name
ENSG00000245532	ENSG00000033050	-0.4503265	0	Stg I	0.600435333333333	NEAT1	ABCF2
ENSG00000245694	ENSG00000248487	-0.5334688	0	Stg I	0.711291733333333	CRNDE	ABHD14A
ENSG00000251562	ENSG00000135541	0	0.4316811	Stg II	0.5755748	MALAT1	AHI1
ENSG00000268388	ENSG00000162433	0.5074825	0	Stg I	0.676643333333333	FENDRR	AK4
ENSG00000261824	ENSG00000091542	0.8895156	0.4360799	Stg I	0.604580933333333	LINC00662	ALKBH5
ENSG00000251562	ENSG00000254996	0	0.5741338	Stg II	0.765511733333333	MALAT1	ANKHD1-EIF4EBP3
ENSG00000182165	ENSG00000169083	-0.4486107	0	Stg I	0.5981476	TP53TG1	AR
ENSG00000253738	ENSG00000169083	0	0.4285482	Stg II	0.5713976	OTUD6B-AS1	AR
ENSG00000238197	ENSG00000169083	0	0.4003818	Stg II	0.5338424	PAXBP1-AS1	AR
ENSG00000226950	ENSG00000169083	-0.5793453	0	Stg I	0.7724604	DANCR	AR
ENSG00000251562	ENSG00000065802	0	0.4734798	Stg II	0.6313064	MALAT1	ASB1
ENSG00000264575	ENSG00000156127	-0.6470987	0	Stg I	0.862798266666667	LINC00526	BATF
ENSG00000227354	ENSG00000156127	-0.5997084	0	Stg I	0.7996112	RBM26-AS1	BATF
ENSG00000245910	ENSG00000156127	0	0.4075123	Stg II	0.543349733333333	SNHG6	BATF
ENSG00000224939	ENSG00000156127	-0.6318909	0	Stg I	0.8425212	LINC00184	BATF
ENSG00000242808	ENSG00000156127	-0.4723792	0	Stg I	0.629838933333333	SOX2-OT	BATF
ENSG00000235823	ENSG00000156127	-0.5942757	0	Stg I	0.7923676	OLMALINC	BATF
ENSG00000175611	ENSG00000156127	-0.5777117	0	Stg I	0.770282266666667	LINC00476	BATF
ENSG00000227354	ENSG00000119866	0	0.5054309	Stg II	0.673907866666667	RBM26-AS1	BCL11A
ENSG00000255198	ENSG00000119866	0.8122004	0	Stg I	1.08293386666667	SNHG9	BCL11A
ENSG00000203875	ENSG00000069399	0.5210093	0	Stg I	0.694679066666667	SNHG5	BCL3
ENSG00000235823	ENSG00000069399	-0.6646387	0.1664644	Stg I	0.6642324	OLMALINC	BCL3
ENSG00000232860	ENSG00000069399	-0.4523421	0	Stg I	0.6031228	SMG7-AS1	BCL3
ENSG00000226496	ENSG00000069399	0.6617576	0.2655731	Stg I	0.528246	LINC00323	BCL3
ENSG00000233016	ENSG00000069399	-0.5580673	0	Stg I	0.744089733333333	SNHG7	BCL3
ENSG00000234883	ENSG00000069399	0.6338594	0	Stg I	0.845145866666667	MIR155HG	BCL3
ENSG00000175611	ENSG00000069399	-0.5080273	0	Stg I	0.677369733333333	LINC00476	BCL3
ENSG00000260583	ENSG00000069399	-0.5666911	0	Stg I	0.755588133333333	AP000223.1	BCL3
ENSG00000245694	ENSG00000162373	-0.6829708	-0.2633486	Stg I	0.559496266666667	CRNDE	BEND5
ENSG00000245694	ENSG00000133169	-0.4888546	0	Stg I	0.651806133333333	CRNDE	BEX1
ENSG00000227354	ENSG00000185024	0.7269199	0	Stg I	0.969226533333333	RBM26-AS1	BRF1
ENSG00000177640	ENSG00000185024	0.7426327	0	Stg I	0.990176933333333	CASC2	BRF1
ENSG00000245694	ENSG00000141837	-0.4544581	0	Stg I	0.605944133333333	CRNDE	CACNA1A
ENSG00000268388	ENSG00000165995	0	0.4612256	Stg II	0.614967466666667	FENDRR	CACNB2
ENSG00000245532	ENSG00000105767	-0.5146052	0	Stg I	0.686140266666667	NEAT1	CADM4
ENSG00000226913	ENSG00000135387	-0.5470464	0	Stg I	0.7293952	BSN-DT	CAPRIN1
ENSG00000251562	ENSG00000196954	0	0.3774603	Stg II	0.5032804	MALAT1	CASP4
ENSG00000214548	ENSG00000064012	-0.44574	0	Stg I	0.59432	MEG3	CASP8
ENSG00000251562	ENSG00000064012	0	0.4024484	Stg II	0.536597866666667	MALAT1	CASP8
ENSG00000242808	ENSG00000134057	-0.4655305	0	Stg I	0.620707333333333	SOX2-OT	CCNB1
ENSG00000242808	ENSG00000170312	-0.5545717	0	Stg I	0.739428933333333	SOX2-OT	CDK1
ENSG00000251562	ENSG00000006837	0	0.5696019	Stg II	0.7594692	MALAT1	CDKL3
ENSG00000255198	ENSG00000165556	0.7311247	0	Stg I	0.974832933333333	SNHG9	CDX2
ENSG00000224965	ENSG00000245848	-0.4975972	0	Stg I	0.663462933333333	LINC02586	CEBPA
ENSG00000235823	ENSG00000245848	-0.5119732	0	Stg I	0.682630933333333	OLMALINC	CEBPA
ENSG00000235823	ENSG00000172216	-0.6040166	0	Stg I	0.805355466666667	OLMALINC	CEBPB
ENSG00000180769	ENSG00000172216	-0.6264152	0	Stg I	0.835220266666667	WDFY3-AS2	CEBPB
ENSG00000238197	ENSG00000172216	-0.5854918	0	Stg I	0.780655733333333	PAXBP1-AS1	CEBPB
ENSG00000253738	ENSG00000172216	-0.4998842	0	Stg I	0.666512266666667	OTUD6B-AS1	CEBPB
ENSG00000245532	ENSG00000159409	-0.4874903	0	Stg I	0.649987066666667	NEAT1	CELF3
ENSG00000245532	ENSG00000143126	-0.6332374	0	Stg I	0.844316533333333	NEAT1	CELSR2
ENSG00000245694	ENSG00000103888	0.6760264	0	Stg I	0.901368533333333	CRNDE	CEMIP
ENSG00000245532	ENSG00000177830	-0.5706335	0	Stg I	0.760844666666667	NEAT1	CHID1
ENSG00000245694	ENSG00000177830	-0.6191573	0	Stg I	0.825543066666667	CRNDE	CHID1
ENSG00000245694	ENSG00000099622	-0.5920436	0	Stg I	0.789391466666667	CRNDE	CIRBP
ENSG00000245532	ENSG00000105270	-0.5265903	0	Stg I	0.7021204	NEAT1	CLIP3
ENSG00000245694	ENSG00000153721	-0.6518665	-0.2264787	Stg I	0.567183733333333	CRNDE	CNKSR3
ENSG00000245694	ENSG00000141030	-0.6697268	-0.2136549	Stg I	0.608095866666667	CRNDE	COPS3
ENSG00000245694	ENSG00000138663	-0.6071093	-0.1829064	Stg I	0.565603866666667	CRNDE	COPS4
ENSG00000260853	ENSG00000149532	0	0.5303959	Stg II	0.707194533333333	AC109460.2	CPSF7
ENSG00000257913	ENSG00000149532	0	0.3834251	Stg II	0.511233466666667	DDN-AS1	CPSF7
ENSG00000197670	ENSG00000149532	0	0.4894464	Stg II	0.6525952	AL157838.1	CPSF7
