lnc_id	gene_id	Stg.I	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000245694	ENSG00000109576	0	0	0.2457936	0.4864505	Stg IV	0.539359066666667	CRNDE	AADAT
ENSG00000251562	ENSG00000107331	0	0	0	0.5514733	Stg IV	0.735297733333333	MALAT1	ABCA2
ENSG00000251562	ENSG00000143322	0	0	0	0.3758474	Stg IV	0.501129866666667	MALAT1	ABL2
ENSG00000251562	ENSG00000099204	0	0	0	0.5116059	Stg IV	0.6821412	MALAT1	ABLIM1
ENSG00000251562	ENSG00000100813	0	0	0	0.4894254	Stg IV	0.6525672	MALAT1	ACIN1
ENSG00000251562	ENSG00000176715	0	-0.2045703	0	0.4673144	Stg IV	0.532165733333333	MALAT1	ACSF3
ENSG00000251562	ENSG00000065457	0	0	0	0.3869289	Stg IV	0.5159052	MALAT1	ADAT1
ENSG00000251562	ENSG00000213638	0	-0.2457925	-0.1848291	0.5380098	Stg IV	0.525959022222222	MALAT1	ADAT3
ENSG00000251562	ENSG00000119844	0.2813986	0	0	0.5324887	Stg IV	0.584918888888889	MALAT1	AFTPH
ENSG00000251562	ENSG00000165923	0	0.2389278	0	0.5157665	Stg IV	0.581498533333333	MALAT1	AGBL2
ENSG00000251562	ENSG00000106351	0	0	0	0.4494039	Stg IV	0.5992052	MALAT1	AGFG2
ENSG00000251562	ENSG00000106546	0	0	0	0.443174	Stg IV	0.590898666666667	MALAT1	AHR
ENSG00000251562	ENSG00000105127	0	0	0	0.5460297	Stg IV	0.7280396	MALAT1	AKAP8
ENSG00000251562	ENSG00000091542	0	-0.2215898	0	0.521421	Stg IV	0.596743644444444	MALAT1	ALKBH5
ENSG00000251562	ENSG00000144233	0	0	0	0.443616	Stg IV	0.591488	MALAT1	AMMECR1L
ENSG00000251562	ENSG00000126016	0	0	0	0.5427854	Stg IV	0.723713866666667	MALAT1	AMOT
ENSG00000251562	ENSG00000114019	0	0	0	0.5153238	Stg IV	0.6870984	MALAT1	AMOTL2
ENSG00000251562	ENSG00000176248	0	-0.2516956	-0.1741467	0.661642	Stg IV	0.692926088888889	MALAT1	ANAPC2
ENSG00000251562	ENSG00000167522	0.2837248	0	0	0.8128086	Stg IV	0.957644888888889	MALAT1	ANKRD11
ENSG00000251562	ENSG00000131620	0	0	0	0.3875305	Stg IV	0.516707333333333	MALAT1	ANO1
ENSG00000251562	ENSG00000131480	0	0	0	0.3812981	Stg IV	0.508397466666667	MALAT1	AOC2
ENSG00000251562	ENSG00000213983	0	0	0	0.6099342	Stg IV	0.8132456	MALAT1	AP1G2
ENSG00000251562	ENSG00000183020	0	0	0	0.4475763	Stg IV	0.5967684	MALAT1	AP2A2
ENSG00000251562	ENSG00000081014	0	0	0	0.5198805	Stg IV	0.693174	MALAT1	AP4E1
ENSG00000251562	ENSG00000254470	0	0	0	0.406761	Stg IV	0.542348	MALAT1	AP5B1
ENSG00000251562	ENSG00000113108	0.3479125	0	0	0.5160068	Stg IV	0.533381288888889	MALAT1	APBB3
ENSG00000238121	ENSG00000169083	0.6562258	0	0	0	Stg I	0.874967733333333	LINC00426	AR
