lnc_id	gene_id	Stg.I	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000268388	ENSG00000175899	0.486262	0	0.5576627	0	Stg III	0.527433822222222	FENDRR	A2M
ENSG00000268388	ENSG00000141338	0.2627222	0	0.7015682	0	Stg III	0.818658844444444	FENDRR	ABCA8
ENSG00000245694	ENSG00000103222	0.3185618	0	0.2062778	0.6798565	Stg IV	0.673213288888889	CRNDE	ABCC1
ENSG00000245694	ENSG00000248487	0.2767081	0	0	0.658444	Stg IV	0.754943955555555	CRNDE	ABHD14A
ENSG00000251562	ENSG00000176715	0.1821361	0	0.387187	0.656168	Stg IV	0.621858177777778	MALAT1	ACSF3
ENSG00000245532	ENSG00000176715	0	0	0.3452287	0.6730451	Stg IV	0.743958488888889	NEAT1	ACSF3
ENSG00000251562	ENSG00000135503	0.2240755	0	0.4957597	0.6198858	Stg IV	0.506587644444444	MALAT1	ACVR1B
ENSG00000245694	ENSG00000148848	0	0.3985226	0	0	Stg II	0.531363466666667	CRNDE	ADAM12
ENSG00000268388	ENSG00000163638	0.2370638	0	0.5065045	0	Stg III	0.569977644444444	FENDRR	ADAMTS9
ENSG00000251562	ENSG00000164742	0	0	0	0.5100577	Stg IV	0.680076933333333	MALAT1	ADCY1
ENSG00000245532	ENSG00000147576	0.3694193	0.400943	0.4232602	0.8812463	Stg IV	0.644496177777778	NEAT1	ADHFE1
ENSG00000268388	ENSG00000170425	0	0	0	0.4909266	Stg IV	0.6545688	FENDRR	ADORA2B
ENSG00000251562	ENSG00000181026	0	0	0.4690328	0.5368341	Stg IV	0.507319777777778	MALAT1	AEN
ENSG00000268388	ENSG00000085662	0	0	0	0.5429362	Stg IV	0.723914933333333	FENDRR	AKR1B1
ENSG00000245694	ENSG00000109107	0	0	0	0.3908539	Stg IV	0.521138533333333	CRNDE	ALDOC
ENSG00000251562	ENSG00000120697	0	0	0.2105008	0.4643653	Stg IV	0.525597822222222	MALAT1	ALG5
ENSG00000251562	ENSG00000091542	0.1486399	0	0.2446442	0.5161102	Stg IV	0.513354	MALAT1	ALKBH5
ENSG00000268388	ENSG00000198796	0.4071815	0	0	0	Stg I	0.542908666666667	FENDRR	ALPK2
ENSG00000251562	ENSG00000129055	0	0	0.3841345	0.5182651	Stg IV	0.520293688888889	MALAT1	ANAPC13
ENSG00000245694	ENSG00000214274	0	0	0	0.4301276	Stg IV	0.573503466666667	CRNDE	ANG
ENSG00000245694	ENSG00000198483	0	0.4993516	0	0	Stg II	0.665802133333333	CRNDE	ANKRD35
ENSG00000245532	ENSG00000182718	0	0	0	-0.3843296	Stg IV	0.512439466666667	NEAT1	ANXA2
ENSG00000268388	ENSG00000152056	0	0	0.3831225	0	Stg III	0.51083	FENDRR	AP1S3
ENSG00000245694	ENSG00000198768	0	0	0	0.4952895	Stg IV	0.660386	CRNDE	APCDD1L
ENSG00000278910	ENSG00000171388	0.2526199	0.6118342	0.2318412	0	Stg II	0.600462888888889	BANCR	APLN
ENSG00000245694	ENSG00000105290	0	0	0.2403937	0.7172832	Stg IV	0.849535955555556	CRNDE	APLP1
ENSG00000268388	ENSG00000178878	0.3359955	0	0.6622149	0.2719757	Stg III	0.612743777777778	FENDRR	APOLD1
ENSG00000196668	ENSG00000169083	0	0	0.4749263	0	Stg III	0.633235066666667	LINC00173	AR
ENSG00000238121	ENSG00000169083	0	0.3872789	0	0	Stg II	0.516371866666667	LINC00426	AR
ENSG00000229152	ENSG00000169083	0.1433502	0	0	0.5201054	Stg IV	0.629762666666667	ANKRD10-IT1	AR
ENSG00000183535	ENSG00000169083	0	0	0.3890077	0	Stg III	0.518676933333333	COL18A1-AS1	AR
ENSG00000198468	ENSG00000169083	0.288698	0.6457415	0.3708904	0	Stg II	0.567838266666667	FLVCR1-DT	AR
ENSG00000130600	ENSG00000169083	0	0.7336325	0	0	Stg II	0.978176666666667	H19	AR
ENSG00000244349	ENSG00000169083	0.4050948	0	0	0	Stg I	0.5401264	AL662791.1	AR
ENSG00000251562	ENSG00000169083	0	0	0.2464652	0.5810474	Stg IV	0.665189777777778	MALAT1	AR
ENSG00000177757	ENSG00000169083	0.1559606	0	0	0.4429931	Stg IV	0.521341644444444	FAM87B	AR
ENSG00000225978	ENSG00000169083	0	0	0.5355275	0.2739586	Stg III	0.592277288888889	HAR1A	AR
ENSG00000251191	ENSG00000169083	0	0.6870013	0	0	Stg II	0.916001733333333	LINC00589	AR
ENSG00000268388	ENSG00000004059	0	0	0	0.4185676	Stg IV	0.558090133333333	FENDRR	ARF5
ENSG00000251562	ENSG00000165527	-0.1171247	0	0	-0.4396257	Stg IV	0.534112177777778	MALAT1	ARF6
ENSG00000245694	ENSG00000075884	0	0.3902413	0	0	Stg II	0.520321733333333	CRNDE	ARHGAP15
ENSG00000245532	ENSG00000147799	0.1742968	0	0	0.5280477	Stg IV	0.626598355555556	NEAT1	ARHGAP39
ENSG00000245694	ENSG00000163466	0	0.4751034	0	0	Stg II	0.6334712	CRNDE	ARPC2
ENSG00000251562	ENSG00000088280	0	0	0.2572774	0.5027468	Stg IV	0.555983555555556	MALAT1	ASAP3
ENSG00000251562	ENSG00000034533	0.3241107	0	0.4791194	0.700595	Stg IV	0.577135511111111	MALAT1	ASTE1
ENSG00000251562	ENSG00000101844	0	0	0.4002039	0	Stg III	0.5336052	MALAT1	ATG4A
ENSG00000251562	ENSG00000138363	-0.1529171	0	0	-0.520261	Stg IV	0.625718177777778	MALAT1	ATIC
ENSG00000268388	ENSG00000168874	0	0.5303205	0	0	Stg II	0.707094	FENDRR	ATOH8
ENSG00000251562	ENSG00000135407	0.697104	0	0	0.5537973	Stg I	0.683339866666667	MALAT1	AVIL
ENSG00000268388	ENSG00000105778	0	0	0	0.3773188	Stg IV	0.503091733333333	FENDRR	AVL9
ENSG00000251562	ENSG00000027847	0	0	0	0.4720504	Stg IV	0.629400533333333	MALAT1	B4GALT7
ENSG00000251562	ENSG00000108641	0.3482463	0	0.3859356	0.7229567	Stg IV	0.6376392	MALAT1	B9D1
ENSG00000237803	ENSG00000156127	0.1826527	0	0.2245634	0.5765499	Stg IV	0.587748266666667	LINC00211	BATF
ENSG00000233429	ENSG00000156127	0.4849271	0	0.2441503	0.6544829	Stg IV	0.548609466666667	HOTAIRM1	BATF
ENSG00000233532	ENSG00000156127	0	0	0.4876408	0	Stg III	0.650187733333333	LINC00460	BATF
ENSG00000216863	ENSG00000156127	0.7308586	0	0.3505263	0.6579943	Stg I	0.526246755555555	LY86-AS1	BATF
ENSG00000245694	ENSG00000060982	0	0.4421944	0	0	Stg II	0.589592533333333	CRNDE	BCAT1
ENSG00000251562	ENSG00000105552	0	0	0	0.5620511	Stg IV	0.749401466666667	MALAT1	BCAT2
ENSG00000245532	ENSG00000248098	0.2096688	0	0	0.5701214	Stg IV	0.666975733333333	NEAT1	BCKDHA
ENSG00000268388	ENSG00000083123	0.1817135	0	0.4358867	0	Stg III	0.500420711111111	FENDRR	BCKDHB
ENSG00000245910	ENSG00000119866	0	0.3912069	0	0	Stg II	0.5216092	SNHG6	BCL11A
ENSG00000197989	ENSG00000119866	0	0.3965649	0	0	Stg II	0.5287532	SNHG12	BCL11A
ENSG00000216863	ENSG00000119866	0.4933977	0	0.6231642	0.754204	Stg IV	0.5093556	LY86-AS1	BCL11A
ENSG00000228223	ENSG00000069399	0	0.4491341	0	0	Stg II	0.598845466666667	HCG11	BCL3
ENSG00000245694	ENSG00000162373	0.2107462	0	0.2023164	0.523502	Stg IV	0.514419288888889	CRNDE	BEND5
ENSG00000245694	ENSG00000133169	0	0	0.1937131	0.5069881	Stg IV	0.589889422222222	CRNDE	BEX1
ENSG00000245694	ENSG00000182492	0	0.4520655	0	0	Stg II	0.602754	CRNDE	BGN
ENSG00000268388	ENSG00000125845	0	0	0.3846428	0	Stg III	0.512857066666667	FENDRR	BMP2
ENSG00000268388	ENSG00000172331	-0.1377864	0	0	0.464506	Stg IV	0.558102933333333	FENDRR	BPGM
ENSG00000245532	ENSG00000185024	0.1192637	0	0.2349639	0.5736675	Stg IV	0.607455511111111	NEAT1	BRF1
ENSG00000178977	ENSG00000185024	0.3417822	0.6490694	0.3074973	0	Stg II	0.5768572	LINC00324	BRF1
ENSG00000224157	ENSG00000185024	0.4179111	0	0.5440146	0.704556	Stg IV	0.511885466666667	HCG14	BRF1
ENSG00000268388	ENSG00000134717	0	0	0.378094	0	Stg III	0.504125333333333	FENDRR	BTF3L4
ENSG00000268388	ENSG00000159388	0	0	0.3989345	0	Stg III	0.531912666666667	FENDRR	BTG2
ENSG00000268388	ENSG00000112763	0.2321778	0	0.4713411	0	Stg III	0.525264666666667	FENDRR	BTN2A1
ENSG00000251562	ENSG00000174928	0	0	0.292327	0.5841632	Stg IV	0.648961155555556	MALAT1	C3orf33
ENSG00000268388	ENSG00000114529	0	0	0.3840216	0	Stg III	0.5120288	FENDRR	C3orf52
ENSG00000251562	ENSG00000134508	0	0	0	0.5658726	Stg IV	0.7544968	MALAT1	CABLES1
ENSG00000251562	ENSG00000067191	0.4923041	0	0.3806331	0.7464313	Stg IV	0.607269644444445	MALAT1	CACNB1
ENSG00000251562	ENSG00000179218	0	0	0.259864	0.6190078	Stg IV	0.709848622222222	MALAT1	CALR
ENSG00000261889	ENSG00000135387	0.189043	0.4754792	0	0	Stg II	0.549953155555555	AC108134.2	CAPRIN1
ENSG00000245694	ENSG00000137752	0	0.3977512	0	0	Stg II	0.530334933333333	CRNDE	CASP1
ENSG00000251562	ENSG00000078699	0.428044	0	0.516617	0.7543673	Stg IV	0.585973733333333	MALAT1	CBFA2T2
ENSG00000245532	ENSG00000129993	-0.1241994	0.4783942	0	0	Stg II	0.5826592	NEAT1	CBFA2T3
ENSG00000245694	ENSG00000114423	0	0	0	0.5210832	Stg IV	0.6947776	CRNDE	CBLB
ENSG00000245532	ENSG00000141570	0	0.4326025	0	0	Stg II	0.576803333333333	NEAT1	CBX8
ENSG00000268388	ENSG00000150636	0.4613755	0	0.2404598	0	Stg I	0.508296311111111	FENDRR	CCDC102B
ENSG00000278910	ENSG00000275152	0.2173127	0	0.4966573	0	Stg III	0.565626311111111	BANCR	CCL16
ENSG00000251562	ENSG00000162063	0	0	0.243558	0.4944937	Stg IV	0.551076933333333	MALAT1	CCNF
ENSG00000251562	ENSG00000082258	0.5200822	0	0.5617582	0.7977907	Stg IV	0.582902977777778	MALAT1	CCNT2
ENSG00000251562	ENSG00000163171	-0.1388896	0	0	-0.4328943	Stg IV	0.515463688888889	MALAT1	CDC42EP3
ENSG00000251562	ENSG00000144354	0	0.564237	0.2215516	0	Stg II	0.653848622222222	MALAT1	CDCA7
ENSG00000278910	ENSG00000039068	0.1255708	0.5530509	0.2485365	0	Stg II	0.571131288888889	BANCR	CDH1
ENSG00000251562	ENSG00000170558	0.1392465	0	0	0.4345479	Stg IV	0.517509866666667	MALAT1	CDH2
ENSG00000245532	ENSG00000185324	0.3442479	0	0.3576395	0.8323013	Stg IV	0.797785111111111	NEAT1	CDK10
ENSG00000251562	ENSG00000185324	0.4024049	0	0.368869	0.7079886	Stg IV	0.6011964	MALAT1	CDK10
ENSG00000268388	ENSG00000156345	0	0	0.3754139	0	Stg III	0.500551866666667	FENDRR	CDK20
ENSG00000224965	ENSG00000245848	0.285403	0	0.2212296	0.7407329	Stg IV	0.762473822222222	LINC02586	CEBPA
ENSG00000251562	ENSG00000245848	0	0	0	0.3854282	Stg IV	0.513904266666667	MALAT1	CEBPA
ENSG00000233725	ENSG00000245848	0	0	0	0.3881646	Stg IV	0.5175528	NRAD1	CEBPA
ENSG00000268654	ENSG00000245848	0.1461239	0	0.4974607	0	Stg III	0.598336977777778	MIMT1	CEBPA
ENSG00000236996	ENSG00000245848	0.1329986	0	0.4424215	0	Stg III	0.530784844444445	MLIP-IT1	CEBPA
ENSG00000249669	ENSG00000245848	0.2029081	0	0	0.4678717	Stg IV	0.533647555555556	CARMN	CEBPA
ENSG00000178977	ENSG00000172216	0.1203722	0.4391756	0	0	Stg II	0.532068711111111	LINC00324	CEBPB
ENSG00000245694	ENSG00000102384	0	0.4738474	0.2582249	0	Stg II	0.517029911111111	CRNDE	CENPI
ENSG00000251562	ENSG00000102901	0.4974511	0	0.4547995	0.7169987	Stg IV	0.532775777777778	MALAT1	CENPT
ENSG00000245532	ENSG00000127586	0.3894069	0.420471	0.3562828	0.769327	Stg IV	0.507475688888889	NEAT1	CHTF18
ENSG00000268388	ENSG00000217555	0	0	0	0.565348	Stg IV	0.753797333333333	FENDRR	CKLF
ENSG00000251562	ENSG00000131730	0	0	0	0.4251016	Stg IV	0.566802133333333	MALAT1	CKMT2
ENSG00000268388	ENSG00000163539	0.2135395	0	0.4658985	0	Stg III	0.526291555555556	FENDRR	CLASP2
ENSG00000268388	ENSG00000176435	0.3713619	0	0.567394	0	Stg III	0.5914756	FENDRR	CLEC14A
ENSG00000245532	ENSG00000179335	0.3697632	0	0.4745037	0.7704239	Stg IV	0.652002133333333	NEAT1	CLK3
