lnc_id	gene_id	Stg.I	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000245694	ENSG00000008311	0	0.5501942	0.4257718	0	Stg II	0.544360355555556	CRNDE	AASS
ENSG00000245694	ENSG00000135776	0	0.4368969	0.5292189	0	Stg III	0.5114488	CRNDE	ABCB10
ENSG00000245532	ENSG00000100813	0	0.4322629	0.1690851	0	Stg II	0.5012016	NEAT1	ACIN1
ENSG00000245694	ENSG00000102575	0	0	0	-0.4689865	Stg IV	0.625315333333333	CRNDE	ACP5
ENSG00000268388	ENSG00000154736	0	0.3898065	0	0	Stg II	0.519742	FENDRR	ADAMTS5
ENSG00000245694	ENSG00000170222	0	0.4617199	0.2083764	0	Stg II	0.5230148	CRNDE	ADPRM
ENSG00000268388	ENSG00000196526	0	0.3977519	0	0	Stg II	0.530335866666667	FENDRR	AFAP1
ENSG00000251562	ENSG00000091542	0	0	-0.2050165	-0.4812043	Stg IV	0.550487288888889	MALAT1	ALKBH5
ENSG00000245694	ENSG00000145020	0	0.5324669	0.2625998	0	Stg II	0.593244844444444	CRNDE	AMT
ENSG00000268388	ENSG00000154065	0.6244519	0	0.228251	0	Stg I	0.731157644444444	FENDRR	ANKRD29
ENSG00000251562	ENSG00000183020	0	0	0	-0.4183175	Stg IV	0.557756666666667	MALAT1	AP2A2
ENSG00000268388	ENSG00000163219	0.6913566	0	0	0	Stg I	0.9218088	FENDRR	ARHGAP25
ENSG00000268388	ENSG00000111348	0.6351296	0	0	0	Stg I	0.846839466666667	FENDRR	ARHGDIB
ENSG00000245694	ENSG00000070669	0	0.4865667	0.2186934	0	Stg II	0.551558533333333	CRNDE	ASNS
ENSG00000234608	ENSG00000162772	0	0.3959332	0	0	Stg II	0.527910933333333	MAPKAPK5-AS1	ATF3
ENSG00000224939	ENSG00000156127	0.3964007	0	0	0	Stg I	0.528534266666667	LINC00184	BATF
ENSG00000268388	ENSG00000124243	0.5181554	0	0	0	Stg I	0.690873866666667	FENDRR	BCAS4
ENSG00000232973	ENSG00000119866	0	0.7445212	0.285209	0	Stg II	0.865935377777778	CYP1B1-AS1	BCL11A
ENSG00000216863	ENSG00000069399	0.5013235	0	0.2432307	0	Stg I	0.5603288	LY86-AS1	BCL3
ENSG00000245694	ENSG00000133169	0	0	0	0.5340522	Stg IV	0.7120696	CRNDE	BEX1
ENSG00000251562	ENSG00000141867	0	0	0	-0.442563	Stg IV	0.590084	MALAT1	BRD4
ENSG00000245532	ENSG00000185024	0	0	0	-0.4582829	Stg IV	0.611043866666667	NEAT1	BRF1
ENSG00000233237	ENSG00000104221	0	0	0	0.4219578	Stg IV	0.5626104	LINC00472	BRF2
ENSG00000251562	ENSG00000174744	0	0	-0.1722	-0.4365672	Stg IV	0.505556266666667	MALAT1	BRMS1
ENSG00000245694	ENSG00000095564	0	0.6027901	0.3299844	0	Stg II	0.6570604	CRNDE	BTAF1
ENSG00000268388	ENSG00000143110	0.583271	0	0	0	Stg I	0.777694666666667	FENDRR	C1orf162
ENSG00000251562	ENSG00000014216	0	0	0	-0.4609037	Stg IV	0.614538266666667	MALAT1	CAPN1
ENSG00000268388	ENSG00000150636	0.4405191	0	0	0	Stg I	0.5873588	FENDRR	CCDC102B
ENSG00000245694	ENSG00000165813	0	0.5007258	0.2325977	0	Stg II	0.564257644444444	CRNDE	CCDC186
ENSG00000268388	ENSG00000118816	0	0.2082792	0	0.5127919	Stg IV	0.591154	FENDRR	CCNI
ENSG00000268388	ENSG00000010610	0.4088534	0	0	0	Stg I	0.545137866666667	FENDRR	CD4
ENSG00000268388	ENSG00000158985	0.5621105	0	0	0	Stg I	0.749480666666667	FENDRR	CDC42SE2
ENSG00000228630	ENSG00000124762	0	0	0	0.7168821	Stg IV	0.9558428	HOTAIR	CDKN1A
ENSG00000245694	ENSG00000121289	0	0.4483578	0.1966266	0	Stg II	0.5104208	CRNDE	CEP89
ENSG00000245694	ENSG00000139624	0	0.3926828	0	0	Stg II	0.523577066666667	CRNDE	CERS5
ENSG00000245694	ENSG00000188603	0	0.4523288	0	0	Stg II	0.603105066666667	CRNDE	CLN3
ENSG00000268388	ENSG00000109684	0.6708224	0	0	0	Stg I	0.894429866666667	FENDRR	CLNK
ENSG00000268388	ENSG00000188822	0.8384821	0	0.1712117	0	Stg I	1.04188204444444	FENDRR	CNR2
ENSG00000245694	ENSG00000168434	0	0.5049676	0.3571388	0	Stg II	0.514561777777778	CRNDE	COG7
ENSG00000251562	ENSG00000140365	-0.3529796	0	0	-0.5454252	Stg IV	0.570353777777778	MALAT1	COMMD4
ENSG00000236869	ENSG00000111605	0	0.2720457	0.3163817	0.5970543	Stg IV	0.534549111111111	ZKSCAN7-AS1	CPSF6
ENSG00000261669	ENSG00000149532	0	0.2936373	0.3037952	0.6594524	Stg IV	0.613744311111111	AC008731.1	CPSF7
ENSG00000226330	ENSG00000149532	0	0	0	0.4225892	Stg IV	0.563452266666667	AL606489.1	CPSF7
ENSG00000226312	ENSG00000149532	0.2384946	0	0.2216113	0.6586676	Stg IV	0.673731955555556	CFLAR-AS1	CPSF7
ENSG00000237380	ENSG00000149532	0	0	0.1563041	0.5033499	Stg IV	0.601664711111111	HOXD-AS2	CPSF7
ENSG00000254662	ENSG00000149532	0	0.1752493	0	0.5887186	Stg IV	0.707069555555556	AP000781.1	CPSF7
ENSG00000228223	ENSG00000149532	0.2843819	0.1931351	0.191357	0.6304783	Stg IV	0.5433604	HCG11	CPSF7
ENSG00000223482	ENSG00000149532	0.4906826	0	0.319931	0	Stg I	0.512051911111111	NUTM2A-AS1	CPSF7
ENSG00000228470	ENSG00000149532	0	0	0.3892453	0	Stg III	0.518993733333333	AL929236.1	CPSF7
ENSG00000263766	ENSG00000149532	0	0	0.3086793	0.5708493	Stg IV	0.6239416	AC025682.1	CPSF7
