lnc_id	gene_id	Stg.I	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000245694	ENSG00000161204	0	0.4014138	0	0	Stg II	0.5352184	CRNDE	ABCF3
ENSG00000245532	ENSG00000087085	0	0.4128161	0	0	Stg II	0.550421466666667	NEAT1	ACHE
ENSG00000251562	ENSG00000176715	0	0	0	-0.3866223	Stg IV	0.5154964	MALAT1	ACSF3
ENSG00000251562	ENSG00000163638	0	0	0.7326501	0	Stg III	0.9768668	MALAT1	ADAMTS9
ENSG00000251562	ENSG00000204310	0	0	0	-0.4050535	Stg IV	0.540071333333333	MALAT1	AGPAT1
ENSG00000245694	ENSG00000159461	0	0.4445965	0	0	Stg II	0.592795333333333	CRNDE	AMFR
ENSG00000245694	ENSG00000196510	0.1487778	0.4535053	0	0	Stg II	0.538550266666667	CRNDE	ANAPC7
ENSG00000251562	ENSG00000167522	0	0	0	-0.4135496	Stg IV	0.551399466666667	MALAT1	ANKRD11
ENSG00000245532	ENSG00000167522	0	0	0	-0.4752147	Stg IV	0.6336196	NEAT1	ANKRD11
ENSG00000251562	ENSG00000113108	0	0.6337832	0	0	Stg II	0.845044266666667	MALAT1	APBB3
ENSG00000215374	ENSG00000169083	0.2465648	0.2921984	0	0.6497163	Stg IV	0.626838088888889	FAM66B	AR
ENSG00000214548	ENSG00000169083	0	0.4537677	0	0	Stg II	0.6050236	MEG3	AR
ENSG00000226950	ENSG00000169083	0	0	0	0.4416954	Stg IV	0.5889272	DANCR	AR
ENSG00000245694	ENSG00000165801	0	0	0	-0.3983103	Stg IV	0.5310804	CRNDE	ARHGEF40
ENSG00000245694	ENSG00000164291	0.3159707	0.6614179	0.2524716	0	Stg II	0.629249511111111	CRNDE	ARSK
ENSG00000251562	ENSG00000065802	0	0	0	-0.5758071	Stg IV	0.7677428	MALAT1	ASB1
ENSG00000245694	ENSG00000143515	0	0	0	-0.3813678	Stg IV	0.5084904	CRNDE	ATP8B2
ENSG00000268388	ENSG00000171953	0	0	0	-0.4100044	Stg IV	0.546672533333333	FENDRR	ATPAF2
