lnc_id	gene_id	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000251562	ENSG00000003393	0.6123083	0.1680638	0	Stg II	0.704368533333333	MALAT1	ALS2
ENSG00000263843	ENSG00000089280	0.7273879	0.2795638	0.3327947	Stg II	0.561611533333333	AC022211.2	FUS
ENSG00000264769	ENSG00000122566	0.5607579	0.2170348	0	Stg II	0.602987333333333	AC145207.8	HNRNPA2B1
ENSG00000262905	ENSG00000122566	0.6448543	0.20342	0	Stg II	0.7241924	AC015853.1	HNRNPA2B1
ENSG00000246465	ENSG00000131914	0	0	0.5325139	Stg IV	0.710018533333333	AC138904.1	LIN28A
ENSG00000268388	ENSG00000064547	0.475969	0	0	Stg II	0.634625333333333	FENDRR	LPAR2
ENSG00000268388	ENSG00000262406	0	0	0.5360401	Stg IV	0.714720133333333	FENDRR	MMP12
ENSG00000260121	ENSG00000155363	0.5294281	0	0	Stg II	0.705904133333333	AC138028.4	MOV10
ENSG00000236268	ENSG00000155363	0	0.4649459	0	Stg III	0.619927866666667	LINC01361	MOV10
ENSG00000229807	ENSG00000155363	0	0.448677	0	Stg III	0.598236	XIST	MOV10
ENSG00000228397	ENSG00000155363	-0.4658031	-0.1312636	0	Stg II	0.533561733333333	LINC01635	MOV10
ENSG00000260804	ENSG00000155363	0.5814758	0	0	Stg II	0.775301066666667	LINC01963	MOV10
ENSG00000226851	ENSG00000155363	0	0.1391337	0.4603988	Stg IV	0.521109266666667	AC004112.1	MOV10
ENSG00000250378	ENSG00000155363	0.4775055	0	0	Stg II	0.636674	AC114296.1	MOV10
ENSG00000257449	ENSG00000155363	0	0	-0.4324898	Stg IV	0.576653066666667	AC034102.3	MOV10
ENSG00000223390	ENSG00000155363	0	0.3872192	0	Stg III	0.516292266666667	AL445685.1	MOV10
ENSG00000269940	ENSG00000155363	0	0.228203	0.4954641	Stg IV	0.508483466666667	AL049840.4	MOV10
ENSG00000267296	ENSG00000155363	0.5274479	0	0	Stg II	0.703263866666667	CEBPA-DT	MOV10
ENSG00000236308	ENSG00000155363	0.5368038	0.2015311	0	Stg II	0.581384333333334	AL138921.2	MOV10
ENSG00000264456	ENSG00000155363	0	0.439227	0.6628368	Stg IV	0.5909644	AC138207.4	MOV10
ENSG00000260400	ENSG00000155363	0.5571218	0.1314326	0	Stg II	0.655207333333333	AL513534.2	MOV10
ENSG00000241772	ENSG00000155363	0	0	-0.4318997	Stg IV	0.575866266666667	AC092620.1	MOV10
ENSG00000253955	ENSG00000155363	0.7813483	0.24426	0	Stg II	0.878957733333333	AC008663.2	MOV10
ENSG00000268205	ENSG00000155363	0.4769106	0	0	Stg II	0.6358808	AC005261.1	MOV10
ENSG00000225733	ENSG00000155363	0	0.155039	0.5085209	Stg IV	0.574668533333333	FGD5-AS1	MOV10
ENSG00000261123	ENSG00000155363	-0.4234224	0	0	Stg II	0.5645632	AC009065.5	MOV10
ENSG00000214870	ENSG00000155363	0	0.3850789	0	Stg III	0.513438533333333	AC004540.1	MOV10
ENSG00000233144	ENSG00000155363	0.4843118	0	0	Stg II	0.645749066666667	AL512656.1	MOV10
ENSG00000261096	ENSG00000155363	0	0.4546652	0	Stg III	0.606220266666667	AC073476.2	MOV10
ENSG00000245694	ENSG00000166881	0.566227	0	0	Stg II	0.754969333333333	CRNDE	NEMP1
ENSG00000233321	ENSG00000004534	0	0	0.4201869	Stg IV	0.5602492	LINC02669	RBM6
ENSG00000214772	ENSG00000004534	-0.5072663	0	0	Stg II	0.676355066666667	AC010168.1	RBM6
ENSG00000241684	ENSG00000004534	0	0.4306159	0	Stg III	0.574154533333333	ADAMTS9-AS2	RBM6
ENSG00000205622	ENSG00000004534	0.5335144	0	0	Stg II	0.711352533333333	AP001042.1	RBM6
ENSG00000247157	ENSG00000004534	0	0.1944055	0.5263271	Stg IV	0.5721658	LINC01252	RBM6
ENSG00000269834	ENSG00000004534	0.6418819	0.4017149	0	Stg II	0.5880326	ZNF528-AS1	RBM6
ENSG00000233967	ENSG00000004534	0	0.5806415	0.2857813	Stg III	0.5836678	AL359715.1	RBM6
ENSG00000269054	ENSG00000004534	0.7108298	0.4464805	0	Stg II	0.6501194	AC012313.6	RBM6
ENSG00000270265	ENSG00000004534	0	0.3447247	0.5585508	Stg IV	0.514917933333333	AC104819.3	RBM6
ENSG00000261423	ENSG00000004534	0.5840081	0	0	Stg II	0.778677466666667	TMEM202-AS1	RBM6
ENSG00000246379	ENSG00000004534	0	0	0.3751614	Stg IV	0.5002152	AC040168.1	RBM6
ENSG00000215458	ENSG00000004534	0	0.4596939	0	Stg III	0.6129252	AATBC	RBM6
ENSG00000223653	ENSG00000004534	0	0.4286985	0	Stg III	0.571598	AL078459.1	RBM6
ENSG00000229228	ENSG00000004534	-0.4565535	0	0	Stg II	0.608738	LINC00582	RBM6
ENSG00000238290	ENSG00000004534	0	0.2319319	0.5332166	Stg IV	0.5563342	AL034417.2	RBM6
ENSG00000223390	ENSG00000004534	0	0.4218982	0	Stg III	0.562530933333333	AL445685.1	RBM6
ENSG00000228063	ENSG00000004534	0.4799005	0	0	Stg II	0.639867333333333	LYPLAL1-DT	RBM6
ENSG00000260536	ENSG00000004534	0	0.4188941	0	Stg III	0.558525466666667	AL035071.2	RBM6
ENSG00000231703	ENSG00000004534	0	0.4514919	0	Stg III	0.6019892	AL354993.1	RBM6
ENSG00000226330	ENSG00000004534	0.5338455	0	0	Stg II	0.711794	AL606489.1	RBM6
ENSG00000259783	ENSG00000004534	0.6191838	-0.1642334	0	Stg II	0.716089466666667	LINC02259	RBM6
ENSG00000267723	ENSG00000004534	0	0.3934572	0	Stg III	0.5246096	AC011509.2	RBM6
ENSG00000228573	ENSG00000004534	-0.5140444	0	0	Stg II	0.685392533333333	AL138962.1	RBM6
ENSG00000233928	ENSG00000004534	0	0	0.4269616	Stg IV	0.569282133333333	AL591501.1	RBM6
ENSG00000222032	ENSG00000004534	0	0	0.4650399	Stg IV	0.6200532	AC112721.2	RBM6
ENSG00000237705	ENSG00000004534	0	0.4143529	0	Stg III	0.552470533333333	AC008937.2	RBM6
ENSG00000265399	ENSG00000004534	0	0	0.4247004	Stg IV	0.5662672	AP005329.2	RBM6
ENSG00000247809	ENSG00000004534	0	0.4246604	0	Stg III	0.566213866666667	NR2F2-AS1	RBM6
ENSG00000157306	ENSG00000004534	0	0.5342058	0	Stg III	0.7122744	ZFHX2-AS1	RBM6
ENSG00000186615	ENSG00000004534	0.535053	0.1365456	0	Stg II	0.6223736	KTN1-AS1	RBM6
ENSG00000251497	ENSG00000004534	0.6359126	0.364588	0	Stg II	0.6048248	PITPNM2-AS1	RBM6
ENSG00000228436	ENSG00000004534	0	0.12485	0.4811589	Stg IV	0.558311866666667	AL139260.1	RBM6
ENSG00000249001	ENSG00000004534	0	0	0.4014328	Stg IV	0.535243733333333	AC093895.1	RBM6
ENSG00000261123	ENSG00000004534	-0.4855496	0	0	Stg II	0.647399466666667	AC009065.5	RBM6
ENSG00000245694	ENSG00000141425	0.5684539	0	0	Stg II	0.757938533333333	CRNDE	RPRD1A
ENSG00000245694	ENSG00000096063	0.4530084	0	0	Stg II	0.6040112	CRNDE	SRPK1
ENSG00000245694	ENSG00000111602	0.721339	0	0	Stg II	0.961785333333333	CRNDE	TIMELESS
ENSG00000251562	ENSG00000101255	0	0	0.3900802	Stg IV	0.520106933333333	MALAT1	TRIB3
ENSG00000225205	ENSG00000005007	0	0	0.3942239	Stg IV	0.525631866666667	AC078883.1	UPF1
ENSG00000262772	ENSG00000136709	0.5904148	0.2432322	0	Stg II	0.625064933333333	LINC01977	WDR33
ENSG00000246465	ENSG00000136709	0.6724139	0.2846251	0.2740973	Stg II	0.524070266666667	AC138904.1	WDR33
ENSG00000245694	ENSG00000172262	0.5784082	0	0	Stg II	0.771210933333333	CRNDE	ZNF131
ENSG00000268388	ENSG00000185252	0.6690705	0	0	Stg II	0.892094	FENDRR	ZNF74
